Industry,Category,Brand,reviewText,overall,reviewTime,Sentiment Score,Price,Quality,SalesRank
Beauty,Lipstick,Loreal,It never worked. My daughter worked to earn the money to get this and it never worked for her. I had to buy her a new one to replace it,0.411110744,1189303473,-0.278524,0.02315857,-0.490551735,6040
Clothes,Tshirt,Adidas,Do not waste your money on this thing it is terrible i boutght this product for my son and when i put in phone numbers for him to remember or the date and  it would always reset then i would have to do it all over again i couldn't do anything about it it was getting very frustrating so we just threw it away DO NOT Absolutely DO NOT SPEND YOUR MONEY ON THIS,1.670379046,849901309,-0.404125533,0.222542772,0.159993446,8106
Electronics,Notebook,Motorola,Do not waste your money on this thing it is terrible i boutght this product for my son and when i put in phone numbers for him to remember or the date and  it would always reset then i would have to do it all over again i couldn't do anything about it it was getting very frustrating so we just threw it away DO NOT Absolutely DO NOT SPEND YOUR MONEY ON THIS,3.016450574,901073000,-0.37220162,-0.298675645,-0.001191094,7185
Electronics,Iphone,Samsung,Corey Barker does a great job of explaining Blend Modes in this DVD. All of the Kelby training videos are great but pricey to buy individually. If you really want bang for your buck just subscribe to Kelby Training online.,4.97658381,962356395,0.103385485,0.220735685,0.296985988,3947
Clothes,Shoes,Puma,This unit works just like the TEC unit only better. I like it and would buy another if needed. OK?,2.427858552,1350376692,-0.101070343,0.452403894,0.452334471,4814
Electronics,Ipad,Nike,"We had an old Time Warner Cable remote that was dropped into a bucket of dirty mop water.  We dried it out and it seemed to work ""fine"" except for the few times one of the batteries began to sizzle and smoke and became hotter than anything I had ever felt before and literally burned a hole in our couch upholstery.  Needless to say, this remote, the CLIKR-5, is awesome, easily programmed, and works perfectly with our TWC equipment and all the other A/V components.  I love this remote... great product.  (Probably goes without saying, but just in case, you don't get the TWC logo on it.)",2.637655474,917803822,-0.197245664,0.299291855,0.253641787,8948
Electronics,Notebook,Samsung,"We had an old Time Warner Cable remote that was dropped into a bucket of dirty mop water.  We dried it out and it seemed to work ""fine"" except for the few times one of the batteries began to sizzle and smoke and became hotter than anything I had ever felt before and literally burned a hole in our couch upholstery.  Needless to say, this remote, the CLIKR-5, is awesome, easily programmed, and works perfectly with our TWC equipment and all the other A/V components.  I love this remote... great product.  (Probably goes without saying, but just in case, you don't get the TWC logo on it.)",4.990960847,1040568700,0.042923919,0.131402963,-0.43391848,7421
Beauty,Rimmel,D&G,Do not waste your money on this thing it is terrible i boutght this product for my son and when i put in phone numbers for him to remember or the date and  it would always reset then i would have to do it all over again i couldn't do anything about it it was getting very frustrating so we just threw it away DO NOT Absolutely DO NOT SPEND YOUR MONEY ON THIS,1.582372936,884537415,-0.953664,-0.197531328,0.422096563,6942
Clothes,Socks,Nike,Corey Barker does a great job of explaining Blend Modes in this DVD. All of the Kelby training videos are great but pricey to buy individually. If you really want bang for your buck just subscribe to Kelby Training online.,1.688921031,1204148130,0.357053902,0.410735791,-0.071051877,6391
Electronics,Notebook,Motorola,Some of the functions did not work properly.  My daughter bought this with her own money and was disappointed that it did not function as advertised.,1.737727087,1256281327,-0.42491149,0.423386157,0.047608174,2496
Electronics,Ipad,Motorola,Dog got the old remote and destroyed it.  Didn't feel like explaining to the folks at the Time Warner Cable office what happened.  Saw the price on Amazon for this one and chose the low hassle option.  It works perfectly.  Price was right.,3.103480046,934443351,-0.134480461,-0.431860634,-0.073710765,5255
Clothes,Socks,Adidas,This unit works just like the TEC unit only better. I like it and would buy another if needed. OK?,2.488918719,1051537946,0.333403106,0.164796615,-0.25714162,7761
Electronics,Notebook,Apple,"We had an old Time Warner Cable remote that was dropped into a bucket of dirty mop water.  We dried it out and it seemed to work ""fine"" except for the few times one of the batteries began to sizzle and smoke and became hotter than anything I had ever felt before and literally burned a hole in our couch upholstery.  Needless to say, this remote, the CLIKR-5, is awesome, easily programmed, and works perfectly with our TWC equipment and all the other A/V components.  I love this remote... great product.  (Probably goes without saying, but just in case, you don't get the TWC logo on it.)",0.477165261,1393478188,-0.278789167,-0.229737806,-0.231727794,1713
Electronics,Ipad,Motorola,"This remote, for whatever reason, was chosen by Time Warner to replace their previous silver remote, the Time Warner Synergy V RC-U62CP-1.12S.  The actual function of this CLIKR-5 is OK, but the ergonomic design sets back remotes by 20 years.  The buttons are all the same, there's no separation of the number buttons, the volume and channel buttons are the same shape as the other buttons on the remote, and it all adds up to a crappy user experience.  Why would TWC accept this as a replacement?  This remote is virtually impossible to pick up and use without staring at it to make sure where your fingers are.  Heck, you have to feel around just to figure out if you've grabbed it by the top or bottom, since there's no articulation in the body of the thing to tell you which end is up.  Horrible, just horrible design.  I'm skipping this and paying double for a refurbished Synergy V.",4.178231994,1452794951,-0.044861824,-0.427798523,0.012231476,8760
Electronics,Notebook,Apple,"This remote, for whatever reason, was chosen by Time Warner to replace their previous silver remote, the Time Warner Synergy V RC-U62CP-1.12S.  The actual function of this CLIKR-5 is OK, but the ergonomic design sets back remotes by 20 years.  The buttons are all the same, there's no separation of the number buttons, the volume and channel buttons are the same shape as the other buttons on the remote, and it all adds up to a crappy user experience.  Why would TWC accept this as a replacement?  This remote is virtually impossible to pick up and use without staring at it to make sure where your fingers are.  Heck, you have to feel around just to figure out if you've grabbed it by the top or bottom, since there's no articulation in the body of the thing to tell you which end is up.  Horrible, just horrible design.  I'm skipping this and paying double for a refurbished Synergy V.",1.343974021,1161954146,0.394990289,0.096719414,-0.161504217,1733
Clothes,Tshirt,Nike,It never worked. My daughter worked to earn the money to get this and it never worked for her. I had to buy her a new one to replace it,2.009400412,1374708375,0.325069871,-0.316718304,-0.415570832,3127
Electronics,Ipad,Samsung,Do not waste your money on this thing it is terrible i boutght this product for my son and when i put in phone numbers for him to remember or the date and  it would always reset then i would have to do it all over again i couldn't do anything about it it was getting very frustrating so we just threw it away DO NOT Absolutely DO NOT SPEND YOUR MONEY ON THIS,0.805144459,842899471,-0.213236766,0.377932814,-0.302170648,6361
